,review,condition,drugName
121432,"""Had to decrease dose to mg  x per day due to increase in liver enzymes. Not effective at this dose. """,4,4
121471,"""Just want to say that Claravis worked (mg/x/day). The dry lips were horrid and the first few months I hid out, but the end was totally worth it. To prevent other side effects, my doctor told me to drink  FL oz of electrolyte drink (i.e. Gatorade, Powerade, Smart Water). Good luck!""",0,5
121527,"""This has really helped with my anxiety. I had some stomach upset (on an off) for the first couple of weeks but it all went and it is SO WORTH IT to feel the anxiety is so much better.""",2,3
121531,"""Best Pill ever made to help with all Anxiety, and no problems.""",2,1
121600,"""This is only day  and so far I&#;ve experienced a little bit of bloating (may just be my period which started the same day. Yay) and super dry throat. My throat feels like it is never wet, so swallowing hurts a ton. I&#;ve tried numerous face washes and medications since middle school. Most recently I was using an acne facial cleanser, epiduo, minocycline, clindomycin, and birth control. This was most effective, but I&#;m still breaking out and have never been clear of acne. I&#;m a senior in high school now, and just started on mg/day. The side effects so far are doable and I&#;ve heard this is a permanent treatment so fingers crossed. I&#;m really hoping my acne won&#;t get worse before it gets better like so many who use it.""",0,5
121629,"""Love it. It made me really relaxed/calm and still able to do my work.""",2,1
121632,"""For the past four months I have had terrible anxiety and multiple terrifying panic attacks per day. I was having to take more and more lorazepam just to get through the day. My doctor prescribed Lexapro. I was nervous because I had read such horrible things about the side effects and I really didn&#;t want to go through it, but Lexapro has been great for me! The anxiety disappeared on the first day and I was more chilled out than I have been in years. I was weak and tired and had no appetite but that is all as far as side effects. I am very happy with how I feel and my anxiety free life!""",2,3
121653,"""best drug for what i got,
my attacks are worse in the
morning for some reason
yes idiots abuse it and makes
it hard for people that really need
it, the doctors are to scared to
prescribe it, what good are they then?""",2,1
121666,"""I took this drug for  years.  Worked like a charm.  Then, my doc cut me off.  Bad drug, etc.  I had withdrawal for one solid year.  I was all over the place.  I even found myself stopped in the middle of the highway for no reason.  I couldn&#;t even work. The withdrawal is the worst part.  This miracle drug helped me but it is like someone kicking a herion addiction, Methadone needs to be taken for life.  My drug use didn&#;t increase so that was not a problem.  I had the same usage everyday. Two . mg but the withdrawal kicked my ass. I would not tell anyone to take this long term.""",2,1
121697,"""Hi, My same is Samuel and i have been on claravis for  months now, and am on my last month! Claravis has beaten all of my expectations and helped me finally be satisfied with myself. This medicine is hardcore. It uses a high does of vitamin A to work out your acne for good,...yes i said it, FOR GOOD. I tried proactive for about  months, and hated it. It uses harsh ingredients to control your acne until your bodies hormones level out. I talked to my doctor alot about this medicine compared to others before i started. And yes, it does have downsides. I cant fit everything into this box i want to say, but my email is samroxlox@yahoo.com, and i&#;d be happy to help anyone with questions, i check it daily.""",0,5
121761,"""I have taken Lexapro mg for two years now for anxiety and it has been great. I do feel tired through the day at times, but I gladly take that in comparison to panicking all day for no reason. This stuff can work if you give it a chance.""",2,3
121854,"""Rash, dry eye, dry mouth, dry skin, sore tongue and throat, cramps.""",2,1
121883,"""I use it for social anxiety and continuous thoughts, it works well and now I am far away from continuously thinking about things which are of no importance, but it makes me dizzy too, taking it for months . mg at night with . mg alprazolam at day time and  mg escitalopram.""",2,2
121952,"""I have taken Xanax on and off for  years and I would say it has been a lifesaver for me. I have episodes of anxiety, nothing earth shattering, but debilitating non-the-less. Xanax has helped smooth those times over and make life manageable. This is a wonderful medicine!""",2,1
121993,"""I was prescribed this for a tooth infection. It did nothing to help elevate pain except when I added Tylenol and ibuprofen. I was also taking antibiotics at the time. Since I had to combine so many medications it would not be fair to discuss side effects. I hope this medicine works better for others.""",4,7
122002,"""Xanax is an excellent medicine for myself. It has prevented panic attacks and helped me through times of rough anxiety. Ativan never worked for me and Klonopin makes me drunk-like and put me in the hospital  times. The hospital finally said I have an allergy to Klonopin and could no longer take it. After going on Xanax, I felt so much better and relieved. I try not to take Xanax everyday, as it is not meant to be a long-term solution to anxiety and can be very addicting, so be very careful. I am on Paxil CR and Risperdal on top of Xanax for my anxiety, PTSD, panic disorder, and OCD.""",2,1
122010,"""My acne was cleared. Extreme depression began.""",0,5
122077,"""This stuff helps. In one month I saw an improvement. Makes my outlook positive and removed the palpitations and fear I had.""",2,3
122100,"""Omg I love accutane. Best think that ever happened to me. I have  months left of this medication and I don&#;t want it to end. Right now my face looks so perfect and flawless occasionally a zit or two nothing major at all! I&#;m so sad that I won&#;t be on it and that my acne will come back! I didn&#;t have awful acne before - it was like a  or  ( being the worst) but I suffered from AWFUL black heads. No any more my nose looks perfect. I did get huge cystic acne as soon as I started the medication and I had almost every side effect from  nose bleeds a day to chap lips to my hair literally coming out in HUGE chunks and extreme joint pain. But it was so so so worth it""",0,5
122185,"""I started getting spots when I was about  and it was pretty bad acne by around . I went on the pill and probably every type of antibiotic which each worked but only for a limited time. At  I realised the only thing left was accutane. NHS was slow so I went private ( appointment - &pound;) and the dermatologist prescribed me  months of  mg/day (I only weigh around  pounds). Best thing I ever did. Only side effects I noticed were dry lips - I recommend aquaphor - and dry inside of my nose. % worth it and my skin is amazing and spot free now! I&#;ve just come off the medication so fingers crossed it lasts a long time. Very happy, I definitely recommend.""",0,5
122198,"""Excellent. I don&#;t know what I would do without it. I love it.""",2,1
122309,"""Started on mg then moved up by  each month, currently on mg moving to  next week. I call this my miracle pill! First  days were hellish, worsened anxiety, headaches, tiredness, jaw clenching and just feeling out of it. But please stick it out! It&#;s so worth it. I feel better than I have in years. I could hardly leave my house. Now I&#;ve done more in the past few weeks than I have in a year! Only reason I didn&#;t rate it  is because I&#;m still not on recommended dose and still have a way to go. But all in all this has helped me so much. I&#;m a better person on this medication. Please try it. You don&#;t have to suffer.""",2,3
122331,"""I am on a little past a month on it and I started at mg a day and after the one month check in they upped my dose to mg a day. For the first week really nothing happened except for mildly dry lips, after about  days my skin started to dry out but it wasn&#;t too bad. Before Claravis my skin was horribly oily and I always had to worry about it. Now my skin is dry but I&#;m not going to complain. It does give you joint pain so if you have a job where it requires lifting heads up your back will hurt. The pill makes my skin less dry then topical creams like tretinoin and adapalene anyway so I like it. Don&#;t know if this is a side affect of the medicine but orange juice and many other drinks now have a really strange after-taste. Overall it&#;s amazing.""",0,5
122364,"""I have been taking Lexapro for two months now for my anxiety. It has barely helped my anxiety and has left me feeling tired all day long. I also have gained weight and have completely lost my sex drive.""",2,3
122415,"""Accutane has been a miracle drug for me. I have not had a single pimple since the nd month of treatment, and I&#;ve been off it for just under a month. My acne, like others, was horrible before Accutane. Another thing to note, I had virtually zero side-effects, just a little bit of dryness around my mouth and lips. It was NOTHING like the horror stories you read about on the web. Just brush your lips with a toothbrush in the morning and at night and put some aquaphor/lip balm on after and you&#;ll be fine for the whole day. I also always ate tons of healthy fats (grass-fed butter and meat, eggs, organic full-fat dairy, coconut butter, avocados, olive oil, macadamia nuts, and natural peanut butter) with my Accutane, so that may have helped too.""",0,5
122487,"""Lexapro has saved my life. I&#;ve been so terrified to take anything for  years. My anxiety/panic was almost constant. I got to the point where I was convinced I was gonna be admitted to a mental Institute it was bad. I feared that taking it would make me crazy (esp reading some other reviews) but I got so bad I figured it couldn&#;t get much worse.I feel so much better. If you&#;re like me and afraid to take anything,give it a try.""",2,3
122537,"""I use to get in fights all the time!!  My doctor prescribed Lexapro and I haven&#;t been in a fight in  straight days.""",2,3
122560,"""Sleep well at night.""",2,2
122638,""" year failed back surgery patient. Just winged off methadone. Received no relief from Ultram ER mg at all!""",4,7
122667,"""I feel like I&#;m not a mean and hated person wile being on Xanax. I have been suffering really bad lately with panic attacks and I can&#;t breath and my cheat falls like to explode. My doc put me on .mg to take  a day but sometimes I have to take more than  a day but it works wonders. I can be a better mom and wife with it.""",2,1
122722,"""Accutane is the king of acne treatments. I took this medicine about  weeks ago. I don&#;t know why does my body react so fast with this medicine. My face now is % clear, and I feel so much more confident. I recommend that asking your der for this drug, it&#; amazing guys.""",0,5
122772,"""Thank you everyone for your helpful comments. I&#;ve been suffering from insomnia since I was practically born and it gotten worse about  months ago down to a depression. So I&#;ve been introduced to the best sleeping medication ever and for the first time in my life I&#;m actually sleeping like a baby. I&#;m taking half of .mg a night and I&#;m no longer this grumpiest girl in the morning that I&#;ve always been!""",3,2
122802,"""It does not make me near as tired and drowsy as Xanax and other anti-anxiety.""",2,2
122845,"""I can finally focus""",1,6
122856,"""Amazing for anxiety and panic disorders but another wonderful thing about Xanax is it will even help take the edge off of the common cold and the flu. I have carpal tunnel, arthritis and osteoporosis an it helps relax the joints and muscles just enough to get a good nights sleep. A &quot;wonder drug&quot;. It does have some major downfalls also like long-term deppendency.""",2,1
122906,"""I was having my son tested for ADD and the doctor ended up suggesting I get tested also. I am a  yr old male. I always new I was capable of more, I always felt fairly intelligent. I always had issues recalling details of projects and a roller coaster ride of motivation. I would wait until I have the pressure of the timeline closing before acting. I have become a dynamo at work and home. Instead of thinking about  different details of multiple projects all at once, I am able to focus on one at a time, but I have to stay organized because I can see details of something and I can&#;t help but work on it because I get excited I can see everything so clearly. I get dry mouth and have trouble winding down at night. Can&#;t stop working.""",1,6
122921,"""It worked wonderfully in my case! I&#;ve had learning difficulties and anorexia since the second grade. Forty or so years the disorder has been binge/purging with laxatives. Cutting myself when my weight ballooned. In January  my primary care giver placed me on Vyvance. It was wonderful. I would wake up and food was not the first thing on my mind! I was able to focus on meal planning and my life felt like it had order! I could finish a task and not skip around. Unfortunately my doctor was more concerned about my weight than my being able to focus so she took me off the medicine that has help me more than anything I&#;ve ever taken!""",1,6
123009,"""Thank you Xanax for the best sleep ever!""",2,1
123078,"""Vyvanse is amazing. I&#;ve had it for about  months now and it&#;s worked better than any other medicine I&#;ve tried. I am able to focus on the stuff I am doing and am able to stick with a task. I highly recommend it.""",1,6
123091,"""A year ago I had a major health scare that turned out to be fine in the end, but I ended up crashing, developing severe insomnia, severe anxiety, muscle twitches all over, major joint pain, brain fog and finally a depression. I resisted taking drugs as I thought I was going to get lots of side effects. I tried everything under the sun; yoga, meditation, acupuncture, tinctures, craniosacral therapy, psychotherapy, kinesiology etc. My psychiatrist and GP both strongly recommended I should take Lexapro. When I started pondering why I was living I started taking the meds. I started sleeping better and after some weeks the worst dread was gone and so was the anxiety. After  months I feel MUCH better and I hardly had any side effects at all!:)""",2,3
123118,"""I have been diagnosed with both Dysautonomia and GAD. I cannot take SSRI&#;s as they throw me into an extreme panic state starting with pill one. I finally gave in and accepted Xanax from my doctor. My dosage is .  times a day. I never take the prescribed dose but rather / pill in the morning, daytime if needed and I rarely take at night. My life has done a complete turnaround. I have energy again, I&#;m not so tense, snappy or experiencing the extreme anxiety that would peak at around pm. I&#;m careful to take as I need, and while doctors may not like prescribing it, the truth is many of us will be on medication forever. I&#;ve found something that doesn&#;t feel like medication, I just feel like me.""",2,1
123120,"""I requested this medication from my PCP for some mild-moderate anxiety.  I heard wonderful things about it and didn&#;t think twice when I started taking it. I took it for about a week and it was the worst experience of my life.  I had tremors, insomnia, couldn&#;t eat, spasms, restless but didn&#;t want to do anything.  I wasn&#;t depressed in the least prior to starting this medication but after the second dose I felt a depressed.. it was unbearable.  I was then prescribed Prozac and had a similar reaction. I lost lbs in  weeks. """,2,3
123122,"""I started taking lexapro for anxiety associated with over analyzing everything.. parents separating.. and getting engaged. The side effects the first couple of weeks included nausea, dizziness, headaches and wide awake feeling at night. The pros: took away the thoughts running through my mind.. blushing.. helped even out all of my emotions.  The CONS: I stopped lexapro in December  before I wanted to get pregnant and  week later I had a massive migraine (never had one) and lost my ability to speak.. see.. it was awful.. rushed to the ER thinking I had a stroke.. everything came back fine. Just remember if you plan on getting off before pregnancy.. give yourself a good few mths. The withdrawls are a NIGHTMARE!!! Dizziness, nausea.,headaches""",2,3
123133,"""I had immediate results.I definitely felt less edgy just  days into my mg nightly dose. I had a headache first two days but took pain relief and it knocked it out. So far it has already provided relief from my constant anxiety and edginess.""",2,3
123178,"""Accutane is wonderful...I first started the medicine when i was ...(i am now ) and still to this day, i do NOT have any acne! I had horrible acne and after i took accutane it was all clear, and still is! .. within the first week all my pores cleared out and all the blackheads on my nose would literally peel off .. the side effects i experienced was very dry lips, my skin on my back would peel and shed.. depression and crying spells, backaches, and migrains.. when i look back i wouldnt change it for anything.. i have not had to be seen by my dermo in  years cause my skin is still super clear and its been  years since ive been on accutane.. would highly reccomend it!!""",0,5
123309,"""I have chronic lower lumbar pain from a bone disorder that affects mostly my lower back. Pain can be excruciating at times. I was taking the tramadol  mg tablets for a few years they helped some but I had to take more and more of them. My doctor put me on the tramadol ER tablets so I take  tablet a day. It is great. With one  mg tablet a day I can function fine. It gives great pain relief.""",4,7
123335,"""Took it for Inguinal Hernia (Post-op Pain). Wow. Wow. Wow.  That&#;s all I can say.  This medicine finally, finally let me have my life back.  Back in Oct  I was diagnosed with an inguinal hernia. It really hurt, it felt like someone was always tugging at my testicle (I know, great right?) and groin pain, and I couldn&#;t work out, and it was terrible.  Anyway, I had surgery in early Dec  and I definitely felt better, but the testicle pain NEVER went away.  I went to the surgeon for - follow-ups and some days the pain was better and others worse, but it never went away.  

Long story short, Gababentin finally took away -% of the pain.  I started first month on mg, x day.  Now after  months I&#;m going to mg x a day.  It&#;s not perfect, but I&#;m getting close!""",4,4
123388,"""I am having great results with the Ryzolt. I have used and abused pain medicines in the past, making the issue of addiction a problem I had to devour. My pain persisted even after. I am carefully using the Ryzolt at one a day and am happy with my results!""",4,7
123542,"""Of all the anxiety medicines alprazolam works the best for me.""",2,1
123616,"""This is the only medication that has ever taken away my anxiety completely. I was on it for  months and decided to try and quit the medication and it was the worst experience of my life. I now feel like I can&#;t function anymore. My performance at work is slipping and I feel like I am losing my grip with my general anxiety disorder. I have tried Celexa, Zoloft, Lexapro and Remeron with no luck. This medication was a Godsend and when I was taking it I was only taking .mg x a day. I did not feel like increasing the dose nor did I feel like I was addicted to it. I did not have a bad withdrawal coming off of it either, other than my anxiety has returned to the same levels it was prior to the medication. This medicine was a miracle for me.""",2,2
123711,"""I took Gabapentin for  months. It did nothing to help the sciatic pain. I kept hoping it would eventually  help the pain but the side effects and getting lost and confused in a familiar place that made me quit taking it.  I also experienced garbled speech and balance issues. I weened myself off of it after talking to my doctor.  I was having severe memory problems also and hope it gets better.""",4,4
123952,"""Xanax has given me my life back. I suffer from severe anxiety a few times a year, for no reason. I&#;ve been given other Benzos that leave me feeling like a zombie. I can take a tiny amount (and I&#;m talking / .) of Xanax and it calms me down enough to enjoy life.""",2,1
123953,"""This medication works great for anxiety if taken the correct way.""",2,1
124014,"""Full knee replacement used hydrocodon/acetaminophen for initial - days then Dr prescribed Tramadol for pain during physical therapy. First one I took I couldn&#;t sleep and wide awake to :am!!  Ok, maybe something else causing it? I read side-affects not many comments. I got by on Ibrophen during next few days didn&#;t take Tramadol for -days. 
-RD day by :pm after working  hrs at desk job then on to -hr PT got home and decided to try Tramadol again. I took one -mg at :pm and didn&#;t sleep until :am!!!  I also experienced itchy hand palms I noticed and lasted about an hour.  My pain isn&#;t getting relieved either!!  
Can&#;t continue, need rest, stopped taking and just using Ibrophen until I see Dr tomorrow!!""",4,7
124048,"""I am a runner and had strained my back during training.  I was taking  advils at a time for weeks and even though I was popping them like M&amp;M&#;s, o as still suffering.  My doctor prescribed Tramadol mg - pills every  hours and took the pain away immediately!!! The side effect I had were slight headache and it made me little loopy but it outweighed the back pain I was experiencing so I was happy with it.  Don&#;t plan on taking this long term but it was the only thing that worked for me.""",4,7
124305,"""April st,  I finally decided to declare war against acne &amp; visit a dermatologist to formulate an  attack plan. 
I&#;ve had periods within my life where my skin would clear up with over the counter treatments but as an Bi-racial/African American woman I found that All skin types did not refer to &quot;my skin type&quot;. I found that my skin loved the Winter and Fall while the rest of me loved Spring and Summer. Within a short  weeks I&#;ve seen drastic changes in my skin from the luster to the minimum break outs that I would normally see this time of year. I have noticed moderate dry peeling patches that a little moisturizer hasn&#;t eliminated &amp; more wind burned type chapped lips but would definitely recommend Amnesteem to my fellow mature women!""",0,5
124351,"""Xanax worked wonders for my anxiety. Next thing I know, I only ate one meal every four days and lost  pounds in two weeks. Withdrawal is the worst. I vomited for seven weeks straight and at least twice a day. I&#;ve been clean for two months I still don&#;t sleep until five/six in the morning. I have slight muscle tremors. Prescriptions must be monitored extremely carefully.""",2,1
124352,"""I&#;ve been on this medication for a week and I know what your thinking skip this review but DON&#;T!!!! I&#;ve always had bad acne and while I&#;ve already seen it improve my acne (I turn  next month) the side effects are NOT worth it. It&#;s made me experience suicidal ideation off and on since beginning it, it&#;s made me paranoid about a lot of things and people, I&#;ve been so nauseous constantly that I&#;ve already lost three pounds, my appetite is so suppressed that I can&#;t even force myself to eat three times a day. I&#;ve been having intense anger outburst which is not like me AT ALL. This is me after six days on mg. I love that it&#;s clearing my face but I can not justify a medication that makes me want to kill myself. This has been a terrible!""",0,5
124385,"""Xanax made me a normal person again. I had bouts of anxiety seemingly my entire life, but it didn&#;t become debilitating until I reached my s and became overwhelmed with everything on my plate and I lost sight of who I was. I couldn&#;t focus on anything because I was too worried about school and work and my health issues. It became too much, and I dropped out of school with a .! Anxiety stole my life away, but Xanax gave me the strength to gain it back. I&#;m finally about to graduate, have a wonderful job, and just recently got engaged! I am a normal person, and I thank anxiety for calming my brain and enabling me to live a beautiful, productive life. I highly recommend it if you genuinely suffer from debilitating anxiety.""",2,1
124424,"""Prescribed for lower back injury. This pill is small and powerful, It took a bit of getting use to I think it is more powerful than the mg hydrocodon I am prescribed now. I was given  mg tablets one tablet three times a day but the third pill made me thirsty, very thirsty and sometimes dizzy and I had to eat before use or nausea became a serious issue. I took two a day and tylenol for several months until I began having mild pain in my groin that escalated to numbness my doctor has me using hydrocodon now when needed and I use tylenol for a break from the toxins when needed.""",4,7
124464,"""Made me EXTREMELY sleepy/Drowsy and didn&#;t really feel a difference in my anxiety. Still searching.""",2,2
124465,"""Have tried every antidepressant on the planet, not working for anxiety. My doc gave me gabapenton mg twice a day, no help. I tried by mistake (long story) mg at once and it works! I discovered it works for about  hours, so now I take mg twice a day. That gets me through the day. I pray it keeps working.""",2,4
124498,"""Retired friend had tumor behind ear and severe pain problems for several years.  One medicine he was taking was alprazolam.   months ago he started imagining things (people digging up yard, etc.).  Doctors said he had Alzheimer&#;s and put him in nursing home.  He did not know me.  Acted similar to my mother who has Alzheimer&#;s.  I couldn&#;t understand how it came on so fast.  About  months ago they took him off alprazolam and his memory immediately started coming back.  Last week he went home.  I visited with him yesterday and his memory was very good.  Even told his wife where they had stored something several years ago.  Doctors have no answers.  First Alzheimer&#;s person to be &quot;cured&quot;.  Still has pain pump for his pain.""",2,1
124544,"""I had a very severe pain from my upper back to my neck.The pain was extremely severe.My Doctor prescribed Gabapantin 
It works like a champ.""",2,4
124612,"""Vyvanse has changed my life. I went from being a failing student to having grades above % in only a few weeks. These past  / weeks have been the most productive weeks of my life. However, this med does come with a down side. Some side effects I experienced have been loss of appetite, dry mouth, trouble staying asleep, as well as some minor OCD. The OCD is really the only side effect that has been bothering me, when I have paper in front of me and I&#;m writing, I will constantly keep erasing what I wrote and writing it back down until it looks perfect which I&#;ve never done before in my life. As for social anxiety, I actually feel more confident going outside, my brain feels slowed down when working, and I don&#;t zone out any more. ./""",1,6
124623,"""These glowing reviews are comical to me.  I have had anxiety most of my life, not all the time, but it has come and gone since I was a little girl.  At the urging of family members who have been on one happy pill or another trying to be happy (with no success I might add), I went to my MD and he gave me Lexapro. I took it for about  days, and on the th day. I was taken off by ambulance with a  day panic attack that I could do nothing about.  It scared by husband so bad, he was beside himself.  My blood pressure was extremely high, heart palpitations, a feeling of hypothermia, ice cold all over, could not urinate, etc.  Once in the hospital, the doctor had to give me a downer to counteract the Lexapro (an upper). """,2,3
124667,"""Helps me a lot.""",2,1
124694,"""I always suffered from MAJOR test anxiety during high school and college.  When I returned to school to get my Masters, I knew that the level of anxiety I would get before an exam couldn&#;t be healthly.  I was getting panic attacks.  Finally I felt comfortable enough to ask the doctor for help.  I only have major anxiety before an exam and this medication really helps me.  I do not use it every day, only when my anxiety is peaking. Great for moderate use.""",2,1
124741,"""I was diagnosed with post traumatic stress disorder and anxiety. My doctor put me on Gabapentin @ mg/day I started with  mg/day and worked my way up. I feel good! I never felt this good all my life, I have opened up to the world around me and enjoying life much better. I deal with stress and fear in a totally different way. I&#;m mostly happy all day haha!""",2,4
124842,"""Started Gaba on --. I take  mg daily (split my dosage.) Remember, Gaba is an off label used for Anxiety &amp; you can&#;t blame it if it doesn&#;t work for anxiety (I find negative reviews for gaba unfair on this site.) I take Prozac  mg; but I still have light anxiety, panicky feeling, nausea &amp; mental agitation. I have to use  or  mg Valium prn to smooth out Prozac can&#;t fix at times. I suggested trying Gaba w/ my psyche; he agreed.  mg first wk, nd wk , &amp; rd wk . Gaba added has been effective for anxiety. I feel less anxious &amp; mental agitation reduced.At first, Gaba will make you drowsy &amp; weak. My memory is slightly off but if I really focus I am fine.You might feel shaky at the start. Some bad days, be vigorous. Be positive""",2,4
124844,"""For several years I have been prescribed mg to take up to  times per day - sometimes I take less, some days even none! But I find that Xanax does for me what adderall does for children suffering add. For some reason the drug helps me have precision focus, a clear mind, better communication, rapid fire thought processing, and motivation - just for starters. I don&#;t expect to take it for the rest of my life, but I go thro prolonged periods of anxiety and antisocial behavior (will urinate in bottles in my room when at my worst). Glad  to know there are a few people who Experience the same effects  using Xanax as Maintenance.  It&#;s been a life saver for me! Curious to understand why it has this off label effect on us select few.""",2,1
124881,"""consumed mg for first  months, then went on mg for months,  and at the moment on th month (of mg) and will have to do the same for one more month, then my doctor will tell me if I should stop or still take the medicine. Overall really great, I had terrible acne, no acne now whatsoever, actually  really relieves, don&#;t hesitate, use it. Most people who rate it negatively, most likely take the drugs in the wrong way or it just doesn&#;t work for them. It really does wonders. months and my acne is almost gone (few spots on my back and no spots left on my face, new spots come out once  weeks but that&rsquo;s because of my job which is very stressful)""",0,5
124884,"""I have had varying success with this drug. On one hand it has been a big help. It was able to flick the switch off and bring me out of a very bad GAD and major depressive episode.  But I wonder about the tolerance and how long it will be effective. I use it basically as an emergency tool when Im spiralling down the rabbit hole.""",2,4
124924,"""I love lexapro. I started taking it when I was  from severe anxiety and OCD. My doctor basically begged my parents to put me on medication because I could not leave the house. I&#;m now  years old and about  months ago I thought I no longer needed the lexapro because I was feeling better. WHAT A MISTAKE. After the taper my OCD came back just as bad as it was when I was . So my Pdoc put me on prozac. It made me manic. I then tried Brintellix, again it made me crazy. So I went back to the lexapro and yes the start up side effects suck, headache, dizzy (that woosh feeling in you brain), upset stomach and brain fog, and every time I bumped  up the dose I had an increase in anxiety, but after  weeks I finally have my life back. Stick it out!!!!""",2,3
124947,"""All it did was make me nauseous mg dose.""",4,7
124967,"""I love Lexapro! This drug has done wonders for my anxiety. I have had the sexual side effects - hard to get an orgasm. I will say that went away for me. It might take me a little longer but I&#;m totally enjoying sex now! Give it time and your body will adjust to it.""",2,3
125049,"""I have suffered from anxiety for  years on and off, and mostly when I drive or when I&#;m a passenger. I have always been afraid of medicine even Tylenol. I finally broke down and saw a Doctor and she put me on Paxil. For a week I could not sleep for more than an hour at a time and I could not eat and had dry mouth. I had to force bananas and apples down with water and was getting sick from not sleeping and eating and my anxiety was non stop.
I stopped taking the medicine and went to the hospital; and he gave me a shot of Clonazepam and I went home and felt great and ate great that night, and slept great.
My Doctor prescribed it for me at . mg twice a day or whenever needed. I take / a pill a day and my life is great. No anxiety, no side effects.""",2,2
125117,"""Excellent product""",4,7
125203,"""I was diagnosed with anxiety after having several bouts of severe anxiety and many lesser episodes. On two occasions I went to the ER thinking I was having a heart attack. My Dr. prescribed Lexapro. I don&#;t recall any of the issues other describe and after two weeks or so, I was feeling much better and only sufferred from a few smaller episodes. I have noticed that heavy drinking is a disaster while on this med and results in me feeling ill and panic. I have had no other side effects. I did run out for nearly a week once and did feel some negative feelings coming on. I do not plan to run out ever again. I have taken  mg since the start three years ago. Avoid heavy drinking!""",2,3
125253,"""I am using this medicine since June  and it&#;s really helped to clear my face, this medicine has been the last choice after using many other solutions for acne but none of them solved my problem . I was afraid to take Accutane  because of  it&#;s side effects but it dose worth to take it .""",0,5
125310,"""I take Tramadol for neuropathic pain. Lately after I take it my neck feels like it is swollen. Any one know what is going on?""",4,7
125379,"""My  y/o daughter was taking this. Started on a  MG dose then we kept moving up to . The  only seemed to make her aggressive at home with her sister and acting odd. Her school also commented that she has not change AT ALL even with the increase in dosage. This is the first ADD medication we have taken so maybe its not the one for her but, frustrating never the less.""",1,6
125464,"""I&#;m someone that has been generally anxious for my whole life with spells of depression sprinkled in. Recently I thought I had been improving with my anxiety but then I had a panic attack, out of the blue, with no rhyme or reason; it just happened. I was afraid this would affect my work so I finally pushed myself to see a psychiatrist, who suggested that Lexapro would be an appropriate option. I started taking it and had some nasty side affects (no appetite, nausea, slight dizziness, jitters, tenseness) for the first two days but after that I noticed how well it was working. My anxiety has lessened immensely and it&#;s giving me a second chance I never knew I wanted. I&#;m still in the first week of trying it but it&#;s worked excellently so far!""",2,3
125558,"""I am  &amp; have been on Klonopin for over  yrs. I have tried every thing under the sun, no kidding. I have not only anxiety, but chronic depression, bi-polar disorder,  limb jerking, panic attacks to the extreme. I am so sensitive to meds, it&#;s scary. So when I find something that works I stick with it. I usually only take &quot;Brand Name&quot;, good insurance, or I couldn&#;t.  I&#;ll tell you from experience, if you stick with an exact time line on taking it, rather than as needed, you will do a lot better. I have never had any side effects from it, a blessing. It helps with all of the above. I took myself off of about  medications a doc, had me on. I call them stackers. For a while I did not even know who I was. Now, I am stable, doing the best I ever have.""",2,2
125619,"""Have to use this just to get through the day. Thankful for it though.""",2,2
125705,"""I started taking Lexapro about  years ago for anxiety and social phobia. It worked wonders with few to no apparent side effects. Its not a cure but has helped me manage my condition better than other medications I have tried in the past. It does get me a little sluggish every now and then, but the benefits outweigh the minor side effects. The main down side is the cost. Being that is not covered by insurance and no generic available I&#;m forced to switch to Celexa. My doctor okayed to try the switch and I&#;ve read decent reviews by people who use Celexa for anxiety.""",2,3
125749,"""I&#;ve taken Klonopin as needed for several years now.  It is the only thing that works when I feel a major anxiety issue coming on from progressing into a full blown debilitating attack.  However, it always helps with that, too.  

Like someone else said, it has a longer half life and you don&#;t experience the drop off anxiety spike like some people do with Xanax.  Xanax actually made me feel more anxious when it wore off between doses.

I haven&#;t had a problem with dependency as I only take it for a few weeks at a time every other year or so.  I&#;m careful to taper off over a couple weeks so I don&#;t get rebound anxiety.

All in all, it&#;s been a lifesaver for me.""",2,2
125865,"""I had struggled with severe acne since middle school. It started in th grade and I honestly didn&#;t know what to do. Sure other kids were getting pimples, it was the onset of puberty. But my acne was different. My face was soaked in oils, covered in patches of acne and red as hell. It really blew, and it continued that way until th grade. I had tried tons of &quot;solutions&quot; such as acne free, proactiv, Epiduo, and countless others. But there&#;s a point where those medicines won&#;t work for such a severe case of acne like mine, and many others. So in th grade my dad and I finally decided we should go see the dermatologist. He put me on Claravis for two months. I&#;ve been clear ever since. Now I&#;m a senior and I feel better than ever. Great experience.""",0,5
125923,"""I started getting acne as soon as I hit puberty(age , th grade). My acne continued to get worse all throughout middle school. I went to see a dermatologist and he prescribed me many prescriptions that would work for a little while but acne would come right back. Fast forward to age  I have the same derm since I was . He prescribed me accutane as a last resort. Although I did not like it for the  months I was on it b/c of the dryness it caused, I love that my skin has finally been acne free/blemish free. I stopped taking accutane in Jan . I&#;m just hoping I don&#;t have to go through that acne stage that I had in middle school ever again.  Cons is that I still have dryness/eczema on hands kinda hard to get rid of that :/""",0,5
